id,concept,difficulty,sigma,tolerance,rays,valid_rays,distinct_paths,share_1,share_2,share_3,target_1,target_2,target_3,gap_3_stars,ceiling,moving_photons
quantique-tunnel-1,tunnel,1,2.2,0.2051,1258,307,307,0.9023,0.6612,0.3974,0.9019,0.6615,0.3947,0.0027,False,1
quantique-tunnel-2,tunnel,2,1.6,0.2051,1258,307,307,0.8046,0.4235,0.1694,0.8226,0.4578,0.1724,-0.003,False,2
quantique-tunnel-3,tunnel,3,1.2,0.2051,1258,307,307,0.6971,0.228,0.0456,0.7066,0.2494,0.0439,0.0017,False,1
quantique-superposition-1,superposition,1,2.2,0.2473,273,65,65,0.9231,0.6769,0.3692,0.9019,0.6615,0.3947,-0.0255,False,3
quantique-superposition-2,superposition,2,1.6,0.2473,273,65,65,0.8154,0.4923,0.3692,0.8226,0.4578,0.1724,0.1968,True,3
quantique-superposition-3,superposition,3,1.2,0.2473,273,65,65,0.7077,0.3692,0.3692,0.7066,0.2494,0.0439,0.3253,True,3
quantique-intrication-1,intrication,1,2.2,0.6165,2090,1208,39,0.9081,0.6631,0.3932,0.9019,0.6615,0.3947,-0.0015,False,3
quantique-intrication-2,intrication,2,1.6,0.6165,2090,1208,39,0.8162,0.418,0.2939,0.8226,0.4578,0.1724,0.1215,True,2
quantique-intrication-3,intrication,3,1.2,0.6165,2090,1208,39,0.755,0.418,0.2525,0.7066,0.2494,0.0439,0.2086,True,2
quantique-incertitude-1,incertitude,1,2.2,0.1829,726,134,3,1.0,0.6567,0.4403,0.9019,0.6615,0.3947,0.0456,False,2
quantique-incertitude-2,incertitude,2,1.6,0.1829,726,134,3,1.0,0.5597,0.2164,0.8226,0.4578,0.1724,0.044,False,3
quantique-incertitude-3,incertitude,3,1.2,0.1829,726,134,3,1.0,0.5597,0.2164,0.7066,0.2494,0.0439,0.1725,True,3
quantique-quantification-1,quantification,1,2.2,0.4571,95,40,40,0.925,0.7,0.4,0.9019,0.6615,0.3947,0.0053,False,2
quantique-quantification-2,quantification,2,1.6,0.4571,95,40,40,0.75,0.6,0.15,0.8226,0.4578,0.1724,-0.0224,False,3
quantique-quantification-3,quantification,3,1.2,0.4571,95,40,40,0.7,0.3,0.1,0.7066,0.2494,0.0439,0.0561,True,3
quantique-spin-1,spin,1,2.2,0.2619,4756,1334,46,0.913,0.6739,0.3913,0.9019,0.6615,0.3947,-0.0034,False,1
quantique-spin-2,spin,2,1.6,0.2619,4756,1334,46,0.8043,0.4565,0.1739,0.8226,0.4578,0.1724,0.0015,False,2
quantique-spin-3,spin,3,1.2,0.2619,4756,1334,46,0.6957,0.2391,0.1087,0.7066,0.2494,0.0439,0.0648,True,1
quantique-dualite-1,dualite,1,2.2,0.1429,1406,142,8,0.8521,0.6831,0.4225,0.9019,0.6615,0.3947,0.0278,False,3
quantique-dualite-2,dualite,2,1.6,0.1429,1406,142,8,0.8169,0.4648,0.169,0.8226,0.4578,0.1724,-0.0034,False,3
quantique-dualite-3,dualite,3,1.2,0.1429,1406,142,8,0.7254,0.2817,0.169,0.7066,0.2494,0.0439,0.1251,True,3
